縣市,郵遞區號,鄉鎮區,Latitude,Longitude,英文,藍新金流
苗栗縣,358,苗栗縣苑裡鎮,24.4098262,120.6775054,"Yuanli Township, Miaoli County",苗縣
苗栗縣,360,苗栗縣苗栗市,24.5711502,120.8154358,"Miaoli City, Miaoli County",苗縣
苗栗縣,361,苗栗縣造橋鄉,24.6248068,120.8613785,"Zaoqiao Township, Miaoli County",苗縣
苗栗縣,362,苗栗縣頭屋鄉,24.5765856,120.8545433,"Touwu Township, Miaoli County",苗縣
苗栗縣,363,苗栗縣公館鄉,24.5111399,120.8211796,"Gongguan Township, Miaoli County",苗縣
苗栗縣,364,苗栗縣大湖鄉,24.3980966,120.8728615,"Dahu Township, Miaoli County",苗縣
苗栗縣,365,苗栗縣泰安鄉,24.3831955,121.03351,"Tai'an Township, Miaoli County",苗縣
苗栗縣,366,苗栗縣銅鑼鄉,24.4481942,120.792458,"Tongluo Township, Miaoli County",苗縣
苗栗縣,367,苗栗縣三義鄉,24.3892633,120.769476,"Sanyi Township, Miaoli County",苗縣
苗栗縣,368,苗栗縣西湖鄉,24.5273821,120.7608567,"Xihu Township, Miaoli County",苗縣
苗栗縣,369,苗栗縣卓蘭鎮,24.3113039,120.8254872,"Zhuolan Township, Miaoli County",苗縣
台中市,400,台中市中區,24.1402601,120.6818181,"Central Dist., Taichung City",中市
台中市,401,台中市東區,24.1427702,120.6944233,"East Dist., Taichung City",中市
台中市,402,台中市南區,24.1208445,120.6624117,"South Dist., Taichung City",中市
台中市,403,台中市西區,24.1430604,120.6631289,"West Dist., Taichung City",中市
台中市,404,台中市北區,24.1573171,120.6832556,"North Dist., Taichung City",中市
台中市,406,台中市北屯區,24.1815237,120.6861019,"Beitun Dist., Taichung City",中市
台中市,407,台中市西屯區,24.1769764,120.6424333,"Xitun Dist., Taichung City",中市
台中市,408,台中市南屯區,24.1471183,120.6084832,"Nantun Dist., Taichung City",中市
台中市,411,台中市太平區,24.1240719,120.7170701,"Taiping Dist., Taichung City",中市
台中市,412,台中市大里區,24.1046899,120.6812114,"Dali Dist., Taichung City",中市
台中市,413,台中市霧峰區,24.044318,120.7350013,"Wufeng Dist., Taichung City",中市
台中市,414,台中市烏日區,24.107787,120.6380936,"Wuri Dist., Taichung City",中市
台中市,420,台中市豐原區,24.2521213,120.7234816,"Fengyuan Dist., Taichung City",中市
